WT_0.1	KO_0.1	KO_0.2	WT_1.1	WT_1.2	KO_1.1	KO_1.2	WT_3.1	KO_3.1	KO_3.2	WT_8.1	WT_8.2	KO_8.1	KO_8.2
Vps50	6.700495579	7.144077769	6.064282576	5.762696917	6.066353699	6.065176304	5.532368	5.402221492	5.619952155	3.326209124	4.507761447	0.660944409	3.617342232	3.256160149
Apbb3	5.025002218	4.43472646	5.756709774	4.557227799	6.066353699	3.743248209	3.187985054	4.413028247	2.828853123	3.326209124	-2.121595173	-0.924018092	-1.848632233	2.475941357
Hars	8.240015109	8.58163642	8.1388934	7.784868298	6.066353699	7.819476509	8.167508323	7.558827351	7.657269661	5.648137218	4.448260435	4.857341621	7.305679579	7.486682283
Zmat2	8.339491594	7.865532237	8.53649038	7.531232591	6.066353699	7.697955841	8.375870767	7.05084263	8.064069585	4.911171624	4.321348323	3.933962903	7.966751063	7.718079888
Smg5	8.165313453	6.955451256	7.739299394	7.646421529	6.066353699	6.93068186	6.901422113	7.015824041	6.029871894	7.026648842	1.965867668	2.245906909	2.096226213	3.018468591
Mef2d	7.479178111	6.943548583	6.945435137	6.677227575	6.066353699	6.60396003	7.109884316	6.396787606	5.760054126	6.133564046	1.578844545	2.535413527	4.024196527	3.720563726
Tmem79	5.025002218	2.541236696	2.363842858	3.466079911	6.066353699	1.483381082	2.644842729	3.476222074	2.711016633	3.326209124	-0.536632673	-0.924018092	-1.848632233	0.652819119
Snd1	8.620233054	7.40066946	8.012078188	8.99915567	6.066353699	7.143846189	7.186215961	8.339877393	6.879235313	5.648137218	5.849948381	5.006719246	5.140052454	5.57443122
Kpnb1	10.9999248	11.25048406	10.80456256	10.32999682	8.873708621	10.54450353	10.7239465	10.04260235	9.940858149	8.752473878	7.259947778	6.902530395	8.077663762	7.460174041
Npepps	9.09490075	9.496197124	9.057720057	8.835819486	6.066353699	9.268532375	8.830142957	8.209576414	8.356713387	7.574136637	5.378250714	5.304800598	7.586412898	6.767762697
Mrpl10	8.01362199	7.804325948	7.845400139	7.733680844	6.066353699	7.630987704	7.33414189	6.541695911	7.049729312	6.496134125	4.182185575	2.982872504	4.659162407	5.309931405
Cyp51	6.570970587	6.818787126	6.28146556	7.003213887	6.066353699	5.778485389	6.501401649	5.677855935	5.921299372	6.133564046	3.711294841	3.468299331	4.715136046	3.256160149
Tubb6	6.351868236	6.765696151	6.939639233	6.082069307	6.066353699	6.362158041	6.914303404	5.730643349	7.082723776	3.326209124	-0.536632673	-0.924018092	6.956789213	6.397394247
Def8	8.271627464	6.973123142	7.882126196	7.840363411	6.066353699	7.137828683	7.272116035	7.40493078	6.728180425	4.911171624	2.736385822	4.74840725	4.919552092	4.132288491
