"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Mir6343" 0 0 0 0 0 0
"Epha4" 1603 3637 2126 8014 3638 3757
"Mir6352" 11 6 2 15 5 5
"Pax3" 58 150 96 250 123 134
"Sgpp2" 99 226 111 318 185 183
"Farsb" 711 884 425 1402 515 513
"Mogat1" 0 1 1 0 0 0
"Acsl3" 542 1232 790 779 310 343
"Utp14b" 567 931 515 617 230 222
"Kcne4" 1 3 0 0 0 2
"Scg2" 1 3 1 1 1 0
"Ap1s3" 267 445 183 534 198 220
"Wdfy1" 396 599 303 1156 536 521
"Mrpl44" 214 201 75 208 54 48
"Serpine2" 275 500 278 260 110 97
"Fam124b" 4 7 2 6 0 3
"Cul3" 1846 2338 1071 3019 1125 1228
"1700016L21Rik" 0 3 0 0 0 0
"Dock10" 11 22 9 164 65 82
"Nyap2" 1 4 0 0 0 1
"Mir6344" 0 0 0 0 0 0
"Irs1" 29 40 35 140 51 71
"Rhbdd1" 88 168 87 369 144 138
"Col4a4" 10 21 14 26 10 15
"Col4a3" 7 9 1 6 2 3
"Mff" 276 359 166 481 164 167
"Tm4sf20" 5 2 3 16 5 5
"Agfg1" 851 1136 555 2021 820 884
"Slc19a3" 11 23 14 63 44 33
"Ccl20" 1 5 0 2 0 0
"Daw1" 0 1 0 0 0 0
"Sphkap" 6 6 3 4 2 1
"Pid1" 100 108 41 45 25 23
"Mir6353" 1 3 1 3 1 0
"Dner" 14 23 16 31 10 13
"Mir5126" 0 0 0 0 0 0
"Trip12" 12049 17351 8170 34005 13318 15055
"Fbxo36" 30 39 21 38 15 16
"Slc16a14" 11 12 3 28 6 10
"A530032D15Rik" 11 27 4 6 1 2
"Gm7609" 191 375 185 415 224 248
"C130026I21Rik" 16 21 6 5 1 2
"Sp110" 84 172 110 229 103 107
"Sp140" 40 64 49 77 47 58
"Sp100" 0 2 1 1 0 1
"A630001G21Rik" 16 25 13 22 10 9
"Mir8096" 0 0 0 0 0 0
"9930111H07Rik" 58 146 93 124 81 83
"Cab39" 695 823 348 1095 363 411
"Itm2c" 146 319 169 269 111 129
"4933407L21Rik" 0 1 0 2 2 0
"Gpr55" 3 2 0 0 0 1
"Spata3" 2 7 0 2 0 1
"2810459M11Rik" 5 9 5 8 1 1
"Psmd1" 3316 3915 1597 5171 1665 1663
"Htr2b" 54 120 73 186 85 98
"Armc9" 125 202 119 325 140 163
"B3gnt7" 1011 1899 1025 2921 1066 1363
"Ncl" 63369 67903 27405 72117 24501 27293
"Snora75" 39 84 47 60 32 28
"Gm24148" 45 142 106 137 41 68
"Snord82" 229 484 311 550 159 250
"C130036L24Rik" 20 37 22 46 15 7
